team,quarter,drive_team,play_count,play_count_team,down,play_type,yards_total,play_result,run_sr,pass_sr,total_sr,run_rate,runner,passer,receiver,tackler_one,tackler_two,tackler_one_credit,tackler_two_credit,play_description
Texas,4Q,12,166,82,1,run,5,successful,0.36,,0.38,0.38,S.Ehlinger,,,N.Gallimore,R.Perkins,0.5,0.5,"11-S.Ehlinger scrambles to TEX 30 for 5 yards (90-N.Gallimore,7-R.Perkins)."
Texas,4Q,12,167,83,2,pass,,not successful,,0.36,0.38,0.37,,S.Ehlinger,R.Johnson,,,,,11-S.Ehlinger incomplete. Intended for 2-R.Johnson.
Texas,4Q,12,168,84,3,pass,6,successful,,0.37,0.39,0.37,,S.Ehlinger,B.Eagles,T.Brown,,1,,11-S.Ehlinger complete to 13-B.Eagles. 13-B.Eagles to TEX 36 for 6 yards (6-T.Brown).
Texas,4Q,12,169,85,1,no play,15,successful,,,0.39,,,,,,,,,"11-S.Ehlinger incomplete. Intended for 85-M.Epps. Penalty on OKL 55-K.Mann, Illegal use of hands, 15 yards, enforced at TEX 36. No Play."
Texas,4Q,12,170,86,1,pass,10,successful,,0.39,0.40,0.36,,S.Ehlinger,C.Brewer,D.Turner-Yell,,1,,11-S.Ehlinger complete to 80-C.Brewer. 80-C.Brewer to OKL 39 for 10 yards (32-D.Turner-Yell).
Texas,4Q,12,171,87,1,pass,5,successful,,0.40,0.41,0.36,,S.Ehlinger,R.Johnson,B.Radley-Hiles,,1,,11-S.Ehlinger complete to 2-R.Johnson. 2-R.Johnson to OKL 34 for 5 yards (44-B.Radley-Hiles).
Texas,4Q,12,172,88,2,pass,-3,not successful,,0.39,0.41,0.35,,S.Ehlinger,,M.Stripling,,1,,11-S.Ehlinger sacked at OKL 37 for -3 yards (33-M.Stripling).
Texas,4Q,12,173,89,3,pass,5,not successful,,0.38,0.40,0.35,,S.Ehlinger,D.Duvernay,J.Davis,,1,,11-S.Ehlinger complete to 6-D.Duvernay. 6-D.Duvernay to OKL 32 for 5 yards (4-J.Davis).
Texas,4Q,12,174,90,4,no play,15,successful,,,0.41,,,,,,,,,"Penalty on OKL 9-K.Murray, Roughing the passer, 15 yards, enforced at OKL 32. No Play."
Texas,4Q,12,175,91,1,pass,,not successful,,0.38,0.40,0.34,,S.Ehlinger,M.Epps,,,,,11-S.Ehlinger incomplete. Intended for 85-M.Epps.
Texas,4Q,12,176,92,2,pass,13,successful,,0.39,0.41,0.34,,S.Ehlinger,M.Epps,T.Brown,,1,,11-S.Ehlinger complete to 85-M.Epps. 85-M.Epps to OKL 4 for 13 yards (6-T.Brown).
Texas,4Q,12,177,93,1,run,4,successful,0.38,,0.42,0.35,S.Ehlinger,,,,,,, 11-S.Ehlinger runs 4 yards for a touchdown.
Oklahoma,4Q,13,180,68,1,run,4,not successful,0.49,,0.44,0.56,K.Brooks,,,J.Ossai,,1,,26-K.Brooks to TEX 42 for 4 yards (46-J.Ossai).
Oklahoma,4Q,13,181,69,2,run,10,successful,0.50,,0.45,0.56,J.Hurts,,,J.Ossai,,1,,1-J.Hurts to TEX 32 for 10 yards (46-J.Ossai).
