team,quarter,drive_team,play_count,play_count_team,down,play_type,yards_total,play_result,run_sr,pass_sr,total_sr,run_rate,runner,passer,receiver,tackler_one,tackler_two,tackler_one_credit,tackler_two_credit,play_description
Georgia,3Q,8,98,51,3,no play,10,successful,,,0.50,,,,,,,,,"11-J.Fromm incomplete. Intended for 1-G.Pickens. Penalty on SC 29-J.Ibe, Holding, 10 yards, enforced at UGA 14. No Play."
Georgia,3Q,8,99,52,1,pass,13,successful,,0.42,0.51,0.45,,J.Fromm,D.Robertson,J.Ibe,,1,,11-J.Fromm complete to 16-D.Robertson. 16-D.Robertson to UGA 37 for 13 yards (29-J.Ibe).
Georgia,3Q,8,100,53,1,run,1,not successful,0.55,,0.50,0.46,Z.White,,,R.Sandidge,,1,,3-Z.White to UGA 38 for 1 yard (90-R.Sandidge).
Georgia,3Q,8,101,54,2,run,3,not successful,0.52,,0.49,0.47,Z.White,,,E.Jones,,1,,3-Z.White to UGA 41 for 3 yards (53-E.Jones).
Georgia,3Q,8,102,55,3,pass,,not successful,,0.41,0.48,0.46,,J.Fromm,D.Robertson,,,,,11-J.Fromm incomplete. Intended for 16-D.Robertson.
South Carolina,3Q,7,105,39,1,pass,-5,not successful,,0.35,0.41,0.38,,R.Hilinski,S.Smith,J.Reed,T.Crowder,0.5,0.5,"3-R.Hilinski complete to 13-S.Smith. 13-S.Smith to SC 10 for -5 yards (20-J.Reed,30-T.Crowder)."
South Carolina,3Q,7,106,40,2,run,2,not successful,0.46,,0.39,0.39,T.Feaster,,,A.Ojulari,,1,,4-T.Feaster to SC 12 for 2 yards (13-A.Ojulari).
South Carolina,3Q,7,107,41,3,pass,4,not successful,,0.33,0.38,0.38,,R.Hilinski,B.Edwards,J.Young,D.Daniel,0.5,0.5,"3-R.Hilinski complete to 89-B.Edwards. 89-B.Edwards to SC 16 for 4 yards (92-J.Young,14-D.Daniel)."
South Carolina,3Q,7,108,42,4,no play,15,successful,,,0.40,,,,,,,,,"Penalty on UGA 19-A.Anderson, Roughing the passer, 15 yards, enforced at SC 16. No Play."
South Carolina,3Q,7,109,43,1,run,0,not successful,0.43,,0.39,0.40,T.Feaster,,,M.Rice,N.Johnson,0.5,0.5,"4-T.Feaster to SC 31 for no gain (32-M.Rice,72-N.Johnson)."
South Carolina,3Q,7,111,45,2,pass,,not successful,,0.32,0.38,0.39,,D.Joyner,J.Vann,,,,,7-D.Joyner incomplete. Intended for 6-J.Vann.
South Carolina,3Q,7,112,46,3,run,17,explosive,0.47,,0.39,0.41,T.Feaster,,,J.Reed,,1,,4-T.Feaster to SC 43 for 17 yards (20-J.Reed).
South Carolina,3Q,7,113,47,1,run,1,not successful,0.44,,0.38,0.42,R.Dowdle,,,J.Reed,M.Rice,0.5,0.5,"5-R.Dowdle to SC 44 for 1 yard (20-J.Reed,32-M.Rice)."
South Carolina,3Q,7,114,48,2,pass,7,successful,,0.35,0.40,0.41,,D.Joyner,J.Vann,D.Daniel,,1,,7-D.Joyner complete to 6-J.Vann. 6-J.Vann to UGA 49 for 7 yards (14-D.Daniel).
South Carolina,3Q,7,115,49,3,pass,,not successful,,0.33,0.39,0.40,,D.Joyner,J.Vann,,,,,7-D.Joyner incomplete. Intended for 6-J.Vann.
Georgia,3Q,9,117,57,1,run,7,successful,0.54,,0.49,0.47,Z.White,,,D.Wonnum,,1,,3-Z.White to UGA 27 for 7 yards (8-D.Wonnum).
Georgia,3Q,9,118,58,2,run,0,not successful,0.52,,0.48,0.48,Z.White,,,R.Sandidge,,1,,3-Z.White to UGA 27 for no gain (90-R.Sandidge).
Georgia,3Q,9,119,59,3,pass,6,successful,,0.43,0.49,0.47,,J.Fromm,G.Pickens,I.Mukuamu,,1,,11-J.Fromm complete to 1-G.Pickens. 1-G.Pickens to UGA 33 for 6 yards (24-I.Mukuamu).
Georgia,3Q,9,120,60,1,pass,-4,not successful,,0.41,0.48,0.46,,J.Fromm,,D.Wonnum,K.Smith,0.5,0.5,"11-J.Fromm sacked at UGA 29 for -4 yards (8-D.Wonnum,95-K.Smith)."
Georgia,3Q,9,121,61,2,pass,6,not successful,,0.40,0.47,0.45,,J.Fromm,D.Swift,T.Brunson,,1,,11-J.Fromm complete to 7-D.Swift. 7-D.Swift to UGA 35 for 6 yards (6-T.Brunson).
Georgia,3Q,9,122,62,3,pass,,not successful,,0.39,0.47,0.45,,J.Fromm,D.Swift,,,,,"11-J.Fromm incomplete. Intended for 7-D.Swift. Penalty on UGA 71-A.Thomas, Holding, declined."
South Carolina,3Q,8,124,51,1,pass,5,successful,,0.36,0.40,0.39,,D.Joyner,R.Dowdle,M.Rice,,1,,7-D.Joyner complete to 5-R.Dowdle. 5-R.Dowdle pushed ob at SC 22 for 5 yards (32-M.Rice).
South Carolina,3Q,8,125,52,2,run,0,not successful,0.41,,0.40,0.40,R.Dowdle,,,M.Rice,,1,,5-R.Dowdle to SC 22 for no gain (32-M.Rice).
South Carolina,3Q,8,126,53,3,run,4,not successful,0.39,,0.39,0.42,D.Joyner,,,T.Crowder,,1,,7-D.Joyner scrambles to SC 26 for 4 yards (30-T.Crowder).
Georgia,3Q,10,128,64,1,pass,33,explosive,,0.41,0.47,0.44,,J.Fromm,G.Pickens,J.Robinson,,1,,11-J.Fromm complete to 1-G.Pickens. 1-G.Pickens to SC 44 for 33 yards (7-J.Robinson).
Georgia,3Q,10,129,65,1,pass,8,successful,,0.42,0.48,0.43,,J.Fromm,T.Simmons,J.Robinson,A.DeLoach,0.5,0.5,"11-J.Fromm complete to 87-T.Simmons. 87-T.Simmons to SC 36 for 8 yards (7-J.Robinson,59-A.DeLoach)."
Georgia,3Q,10,130,66,2,penalty,-10,not successful,,,0.48,,,,,T.Brunson,J.Horn,0.5,0.5,"4-J.Cook to SC 31 for 5 yards (6-T.Brunson,1-J.Horn). Penalty on UGA 74-B.Cleveland, Holding, 10 yards, enforced at SC 31."
Georgia,3Q,10,131,67,2,pass,11,successful,,0.44,0.48,0.42,,J.Fromm,D.Robertson,I.Mukuamu,J.Robinson,0.5,0.5,"11-J.Fromm complete to 16-D.Robertson. 16-D.Robertson to SC 30 for 11 yards (24-I.Mukuamu,7-J.Robinson)."
Georgia,4Q,11,132,68,1,run,,not successful,0.50,,0.48,0.43,J.Fromm,,,,,,,"11-J.Fromm to SC 29, FUMBLES. 6-T.Brunson to SC 29 for no gain."
South Carolina,4Q,9,133,55,1,run,3,not successful,0.37,,0.38,0.43,T.Feaster,,,M.Barnett,,1,,4-T.Feaster to SC 32 for 3 yards (94-M.Barnett).
South Carolina,4Q,9,134,56,2,run,10,successful,0.40,,0.39,0.44,D.Joyner,,,E.Stokes,W.Grant,0.5,0.5,"7-D.Joyner scrambles to SC 42 for 10 yards (27-E.Stokes,84-W.Grant)."
South Carolina,4Q,9,135,57,1,run,2,not successful,0.38,,0.38,0.46,R.Dowdle,,,D.Wyatt,,1,,5-R.Dowdle to SC 44 for 2 yards (95-D.Wyatt).
South Carolina,4Q,9,137,59,2,pass,,not successful,,0.35,0.38,0.45,,D.Joyner,S.Smith,,,,,7-D.Joyner incomplete. Intended for 13-S.Smith.
South Carolina,4Q,9,138,60,3,pass,,not successful,,0.33,0.37,0.44,,D.Joyner,S.Smith,,,,,7-D.Joyner incomplete. Intended for 13-S.Smith.
Georgia,4Q,12,140,69,1,run,5,successful,0.52,,0.48,0.44,D.Swift,,,T.Brunson,E.Jones,0.5,0.5,"7-D.Swift to UGA 24 for 5 yards (6-T.Brunson,53-E.Jones)."
Georgia,4Q,12,141,70,2,run,2,not successful,0.50,,0.48,0.45,D.Swift,,,A.Sterling,,1,,7-D.Swift to UGA 26 for 2 yards (15-A.Sterling).
Georgia,4Q,12,142,71,3,pass,4,successful,,0.46,0.48,0.44,,J.Fromm,T.Simmons,,,,,"11-J.Fromm incomplete. Intended for 87-T.Simmons. Penalty on SC 24-I.Mukuamu, Pass interference, 4 yards, enforced at UGA 26. No Play."
Georgia,4Q,12,143,72,1,run,5,successful,0.52,,0.49,0.45,D.Swift,,,E.Jones,D.Wonnum,0.5,0.5,"7-D.Swift to UGA 35 for 5 yards (53-E.Jones,8-D.Wonnum)."
Georgia,4Q,12,144,73,2,run,-1,not successful,0.50,,0.49,0.46,Z.White,,,E.Jones,K.Smith,0.5,0.5,"3-Z.White to UGA 34 for -1 yard (53-E.Jones,95-K.Smith)."
Georgia,4Q,12,145,74,3,pass,15,explosive,,0.47,0.49,0.45,,J.Fromm,Z.White,R.Roderick,,1,,11-J.Fromm complete to 3-Z.White. 3-Z.White to UGA 49 for 15 yards (10-R.Roderick).
Georgia,4Q,12,146,75,1,pass,,not successful,,0.46,0.49,0.45,,J.Fromm,E.Wolf,,,,,11-J.Fromm incomplete. Intended for 17-E.Wolf.
Georgia,4Q,12,147,76,2,pass,7,successful,,0.47,0.49,0.44,,J.Fromm,J.Cook,J.Ibe,,1,,11-J.Fromm complete to 4-J.Cook. 4-J.Cook to SC 44 for 7 yards (29-J.Ibe).
Georgia,4Q,12,148,77,3,pass,,not successful,,0.46,0.49,0.43,,J.Fromm,M.Landers,,,,,"11-J.Fromm incomplete. Intended for 5-M.Landers, INTERCEPTED by 24-I.Mukuamu at SC 35. 24-I.Mukuamu to SC 35 for no gain."
South Carolina,4Q,10,150,63,1,pass,11,successful,,0.36,0.38,0.43,,D.Joyner,S.Smith,J.Reed,,1,,7-D.Joyner complete to 13-S.Smith. 13-S.Smith to SC 41 for 11 yards (20-J.Reed).
South Carolina,4Q,10,151,64,2,run,3,successful,0.41,,0.39,0.44,D.Joyner,,,J.Reed,,1,,7-D.Joyner to SC 44 for 3 yards (20-J.Reed).
South Carolina,4Q,10,152,65,3,pass,5,successful,,0.38,0.40,0.43,,D.Joyner,S.Smith,D.Wilson,,1,,7-D.Joyner complete to 13-S.Smith. 13-S.Smith to SC 49 for 5 yards (1-D.Wilson).
South Carolina,4Q,10,153,66,1,run,3,not successful,0.39,,0.40,0.44,R.Dowdle,,,T.Crowder,,1,,5-R.Dowdle to UGA 48 for 3 yards (30-T.Crowder).
South Carolina,4Q,10,154,67,2,run,2,not successful,0.38,,0.39,0.45,R.Dowdle,,,T.Crowder,,1,,5-R.Dowdle to UGA 46 for 2 yards (30-T.Crowder).
South Carolina,4Q,10,155,68,3,pass,,not successful,,0.37,0.38,0.44,,D.Joyner,S.Smith,,,,,7-D.Joyner incomplete. Intended for 13-S.Smith.
Georgia,4Q,13,157,78,1,pass,,not successful,,0.45,0.48,0.43,,J.Fromm,G.Pickens,,,,,11-J.Fromm incomplete. Intended for 1-G.Pickens.
Georgia,4Q,13,158,79,2,run,9,successful,0.52,,0.49,0.44,D.Swift,,,S.Greene,,1,,7-D.Swift to UGA 13 for 9 yards (44-S.Greene).
Georgia,4Q,13,159,80,3,no play,6,successful,,,0.49,,,,,,,,,"Penalty on SC 3-J.Kinlaw, Offside, 6 yards, enforced at UGA 13. No Play."
Georgia,4Q,13,160,81,1,run,7,successful,0.53,,0.50,0.44,J.Fromm,,,,,,,"11-J.Fromm scrambles, runs ob at UGA 26 for 7 yards."
Georgia,4Q,13,161,82,2,pass,16,explosive,,0.46,0.51,0.44,,J.Fromm,D.Blaylock,,,,,11-J.Fromm complete to 8-D.Blaylock. 8-D.Blaylock to UGA 42 for 16 yards.
