team,quarter,drive_team,play_count,play_count_team,down,red_zone,play_type,yards_total,play_result,run_sr,run_xr,pass_sr,pass_xr,total_sr,total_xr,run_rate,runner,passer,receiver,play_description
Notre Dame,4Q,10,127,50,1,Normal,pass,-2,not successful,,,0.50,0.13,0.46,0.11,0.29,,Golson,Wood,Golson pass completion to the left to Wood for -2 yards to the Ala45.
Notre Dame,4Q,10,128,51,2,Normal,pass,28,explosive,,,0.52,0.15,0.47,0.13,0.28,,Golson,Daniels,Golson pass completion to the middle to Daniels for 28 yards to the Ala17.
Notre Dame,4Q,10,129,52,1,Red Zone,run,1,not successful,0.36,0.07,,,0.46,0.13,0.30,Riddick,,,Riddick rush left for 1 yard to the Ala16.
Notre Dame,4Q,10,130,53,2,Red Zone,pass,10,successful,,,0.53,0.15,0.47,0.12,0.29,,Golson,Jones,Golson pass completion to the right to Jones for 10 yards to the Ala6.
Notre Dame,4Q,10,131,54,1,Red Zone,pass,6,successful,,,0.54,0.14,0.48,0.12,0.29,,Golson,Riddick, Golson pass completion to the middle to Riddick for 6 yards for a TOUCHDOWN.
Alabama,4Q,12,133,68,1,Normal,run,4,not successful,0.59,0.10,,,0.62,0.15,0.59,Yeldon,,,Yeldon rush right for 4 yards to the Ala29.
Alabama,4Q,12,134,69,2,Normal,run,4,not successful,0.58,0.10,,,0.61,0.15,0.60,Yeldon,,,Yeldon rush middle for 4 yards to the Ala28.
Alabama,4Q,12,135,70,3,Normal,pass,,not successful,,,0.64,0.21,0.60,0.15,0.59,,McCarron,,McCarron incomplete pass to the middle.
Notre Dame,4Q,11,137,55,1,Normal,pass,-11,not successful,,,0.53,0.14,0.47,0.12,0.28,,Golson,,Golson sacked by Pettway for -11 yards to the ND26.
Notre Dame,4Q,11,138,56,2,Normal,run,4,not successful,0.33,0.07,,,0.46,0.12,0.29,Riddick,,,Riddick rush right for 4 yards to the ND30.
Notre Dame,4Q,11,139,57,3,Normal,pass,,not successful,,,0.51,0.14,0.45,0.11,0.29,,Golson,,Golson incomplete pass to the left.
Alabama,4Q,13,141,72,1,Normal,run,8,successful,0.59,0.10,,,0.61,0.14,0.59,Yeldon,,,Yeldon rush for 8 yards to the Ala40.
Alabama,4Q,13,142,73,2,Normal,run,3,successful,0.60,0.10,,,0.61,0.14,0.60,Yeldon,,,Yeldon rush left for 3 yards to the Ala43.
Alabama,4Q,13,143,74,1,Normal,run,6,successful,0.60,0.09,,,0.62,0.14,0.61,Drake,,,Drake rush middle for 6 yards to the Ala49.
Alabama,4Q,13,144,75,2,Normal,run,2,not successful,0.59,0.09,,,0.61,0.14,0.61,Drake,,,Drake rush middle for 2 yards to the ND49.
Alabama,4Q,13,145,76,3,Normal,run,0,not successful,0.58,0.09,,,0.60,0.14,0.62,Drake,,,Drake rush middle for 0 yards.
Notre Dame,4Q,12,147,59,1,Normal,run,0,not successful,0.31,0.06,,,0.44,0.11,0.30,Wood,,,Wood rush left for 0 yards.
Notre Dame,4Q,12,148,60,2,Normal,run,1,not successful,0.29,0.06,,,0.44,0.11,0.31,Wood,,,Wood rush right for 1 yard to the ND21.
