team,quarter,drive_team,play_count,play_count_team,down,play_type,yards_total,play_result,run_sr,pass_sr,total_sr,run_rate,runner,passer,receiver,tackler_one,tackler_two,tackler_one_credit,tackler_two_credit,play_description
Clemson,2Q,6,74,27,1,run,0,not successful,0.33,,0.42,0.38,T.Etienne,,,D.Thompson,,1,,9-T.Etienne to BAMA 5 for no gain (14-D.Thompson).
Clemson,2Q,6,75,28,2,pass,5,successful,,0.50,0.44,0.36,,T.Lawrence,T.Etienne,,,,, 16-T.Lawrence complete to 9-T.Etienne. 9-T.Etienne runs 5 yards for a touchdown.
Alabama,2Q,7,78,36,1,pass,5,successful,,0.63,0.68,0.53,,T.Tagovailoa,J.Jeudy,A.Terrell,,1,,13-T.Tagovailoa complete to 4-J.Jeudy. 4-J.Jeudy to BAMA 30 for 5 yards (8-A.Terrell).
Alabama,2Q,7,79,37,2,run,11,successful,0.74,,0.69,0.54,N.Harris,,,T.Lamar,I.Simmons,0.5,0.5,"22-N.Harris to BAMA 41 for 11 yards (57-T.Lamar,11-I.Simmons)."
Alabama,2Q,7,80,38,1,run,-3,not successful,0.70,,0.67,0.56,N.Harris,,,I.Simmons,,1,,22-N.Harris to BAMA 38 for -3 yards (11-I.Simmons).
Alabama,2Q,7,81,39,2,run,7,not successful,0.67,,0.65,0.57,N.Harris,,,A.Huggins,,1,,22-N.Harris to BAMA 45 for 7 yards (67-A.Huggins).
Alabama,2Q,7,82,40,3,pass,0,not successful,,0.59,0.63,0.55,,T.Tagovailoa,,T.Mullen,,1,,"13-T.Tagovailoa sacked at BAMA 34 for -11 yards, FUMBLES (1-T.Mullen). 71-R.Pierschbacher to BAMA 34 for no gain."
Clemson,2Q,7,84,29,1,pass,19,explosive,,0.53,0.46,0.35,,T.Lawrence,T.Thompson,,,,,16-T.Lawrence complete to 1-T.Thompson. 1-T.Thompson runs ob at CLE 40 for 19 yards.
Clemson,2Q,7,85,30,1,pass,,not successful,,0.50,0.44,0.33,,T.Lawrence,A.Rodgers,,,,,16-T.Lawrence incomplete. Intended for 3-A.Rodgers.
Clemson,2Q,7,86,31,2,pass,12,successful,,0.53,0.46,0.32,,T.Lawrence,J.Ross,,,,,16-T.Lawrence complete to 8-J.Ross. 8-J.Ross runs ob at BAMA 48 for 12 yards.
Clemson,2Q,7,87,32,1,no play,15,successful,,,0.48,,,,,,,,,"Penalty on BAMA 15-X.McKinney, Personal Foul, 15 yards, enforced at BAMA 48. No Play."
Clemson,2Q,7,88,33,1,no play,5,successful,,,0.50,,,,,,,,,"16-T.Lawrence incomplete. Intended for 31-C.Renfrow. Penalty on BAMA 33-A.Jennings, Offside, 5 yards, enforced at BAMA 33. No Play."
Clemson,2Q,7,89,34,1,pass,12,successful,,0.55,0.52,0.31,,T.Lawrence,J.Ross,X.McKinney,,1,,16-T.Lawrence complete to 8-J.Ross. 8-J.Ross to BAMA 16 for 12 yards (15-X.McKinney).
Clemson,2Q,7,90,35,1,run,-2,not successful,0.30,,0.50,0.33,A.Choice,,,Q.Williams,,1,,26-A.Choice to BAMA 18 for -2 yards (92-Q.Williams).
Clemson,2Q,7,91,36,2,pass,,not successful,,0.52,0.48,0.32,,T.Lawrence,T.Higgins,,,,,16-T.Lawrence incomplete. Intended for 5-T.Higgins.
Clemson,2Q,7,92,37,3,pass,,not successful,,0.50,0.47,0.31,,T.Lawrence,A.Choice,,,,,16-T.Lawrence incomplete. Intended for 26-A.Choice.
Alabama,2Q,8,95,42,1,pass,,not successful,,0.56,0.62,0.54,,T.Tagovailoa,D.Harris,,,,,13-T.Tagovailoa incomplete. Intended for 34-D.Harris.
Alabama,2Q,8,96,43,2,run,6,not successful,0.64,,0.60,0.55,T.Tagovailoa,,,T.Muse,,1,,13-T.Tagovailoa scrambles to BAMA 31 for 6 yards (19-T.Muse).
Alabama,3Q,9,98,44,1,run,15,explosive,0.65,,0.61,0.56,D.Harris,,,I.Simmons,,1,,34-D.Harris to BAMA 40 for 15 yards (11-I.Simmons).
Alabama,3Q,9,99,45,1,run,11,successful,0.67,,0.62,0.57,D.Harris,,,A.Terrell,,1,,34-D.Harris pushed ob at CLE 49 for 11 yards (8-A.Terrell).
Alabama,3Q,9,101,47,1,pass,14,successful,,0.58,0.63,0.56,,T.Tagovailoa,I.Smith,N.Pinckney,,1,,13-T.Tagovailoa complete to 82-I.Smith. 82-I.Smith to CLE 40 for 14 yards (44-N.Pinckney).
Alabama,3Q,9,102,48,2,pass,,not successful,,0.55,0.61,0.55,,T.Tagovailoa,D.Smith,,,,,13-T.Tagovailoa incomplete. Intended for 6-D.Smith.
